County,Direct Rate
Anderson ,13.433073012502316
Andrews ,15.175867110128447
Angelina ,14.342684077857204
Aransas ,13.976596710395366
Archer ,10.950266000592924
Armstrong ,11.3793883275614
Atascosa ,12.750372213664882
Austin ,12.181384263433827
Bailey ,10.574952307961903
Bandera ,9.587420708987988
Bastrop ,14.460529931277367
Baylor ,13.94118439623286
Bee ,17.1662151189496
Bell ,12.508587774423287
Bexar ,13.598198142649494
Blanco ,9.994413307200968
Borden ,0.0
Bosque ,8.592709100486424
Bowie ,15.031128031734497
Brazoria ,15.96727826555407
Brazos ,11.67704310119456
Brewster ,13.088292931961469
Briscoe ,13.603500868862614
Brooks ,15.26867971488868
Brown ,15.077344119733082
Burleson ,9.776555264944195
Burnet ,8.008735117671215
Caldwell ,11.652920285586353
Calhoun ,14.014195504147805
Callahan ,12.250243071358062
Cameron ,13.074139013666812
Camp ,11.739168831861901
Carson ,9.94877849113594
Cass ,13.26619888343778
Castro ,12.416440288998945
Chambers ,12.212705840288614
Cherokee ,12.095018130175802
Childress ,11.803715145872877
Clay ,11.373271547497094
Cochran ,14.610229273572315
Coke ,10.92815599830156
Coleman ,13.050202749632403
Collin ,8.742288297583293
Collingsworth ,13.48212238825716
Colorado ,15.88783334376695
Comal ,9.76344047873468
Comanche ,14.201876609509355
Concho ,11.412443746361696
Cooke ,10.247225505656747
Coryell ,12.291938447329986
Cottle ,16.12783762052964
Crane ,12.327744665980534
Crockett ,12.75461688270233
Crosby ,13.141062453817746
Culberson ,14.317378048495637
Dallam ,11.95388463986644
Dallas ,13.014965635781849
Dawson ,12.626027107173776
DeWitt ,16.751062305714147
Deaf Smith ,13.455355363527367
Delta ,10.569576826784239
Denton ,8.537011024477573
Dickens ,11.771777412961079
Dimmit ,19.48705547478349
Donley ,10.798826905273305
Duval ,15.913121139706902
Eastland ,11.536025781530165
Ector ,20.875849300500892
Edwards ,14.241582109969062
El Paso ,12.694170491606572
Ellis ,12.540039182056056
Erath ,10.273646861540202
Falls ,16.763758632386413
Fannin ,14.109217700747617
Fayette ,10.772321781207804
Fisher ,15.607150457505723
Floyd ,14.081179182305199
Foard ,18.71175178304918
Fort Bend ,16.516095279240595
Franklin ,11.701736903957688
Freestone ,15.73337128090104
Frio ,13.461700351741644
Gaines ,12.588709935415142
Galveston ,20.95527353092954
Garza ,12.184127146204656
Gillespie ,7.288470993068318
Glasscock ,10.93029944530759
Goliad ,16.899209538970496
Gonzales ,15.394788017690772
Gray ,12.622115414008418
Grayson ,13.239370134715088
Gregg ,14.747173959652635
Grimes ,12.474348298028676
Guadalupe ,10.690870544594553
Hale ,14.071419087502958
Hall ,9.880490793462448
Hamilton ,12.162815306734565
Hansford ,11.25555463299574
Hardeman ,14.48964414698328
Hardin ,12.765949388441884
Harris ,19.894563719615352
Harrison ,16.161719801558633
Hartley ,10.607967683269695
Haskell ,11.383706806318662
Hays ,9.758994769699342
Hemphill ,11.170937906345088
Henderson ,10.696673802477886
Hidalgo ,20.12428260050311
Hill ,8.951664408053325
Hockley ,14.903340207359676
Hood ,9.105785296949877
Hopkins ,13.27605967458666
Houston ,17.27037753154177
Howard ,26.016151573801608
Hudspeth ,13.903768966461667
Hunt ,14.563384814979411
Hutchinson ,14.05655811043205
Irion ,16.114763818450317
Jack ,11.455146961096261
Jackson ,21.70962616324072
Jasper ,11.873280804516407
Jeff Davis ,9.365275667158569
Jefferson ,14.71187851250578
Jim Hogg ,25.22819630342459
Jim Wells ,16.35725849883032
Johnson ,13.821015849709736
Jones ,10.701510541506243
Karnes ,14.00757499956924
Kaufman ,10.670773250964283
Kendall ,7.982659952653328
Kenedy ,0.0
Kent ,15.881010145299776
Kerr ,9.815463613095174
Kimble ,9.499523021394083
King ,0.0
Kinney ,11.439363804331752
Kleberg ,16.93634410268805
Knox ,16.69721726495919
La Salle ,10.978578456363298
Lamar ,16.38167771445295
Lamb ,11.468770450920392
Lampasas ,11.954533904594166
Lavaca ,13.987475374987687
Lee ,8.91490350065084
Leon ,12.557739216671356
Liberty ,23.62079927822918
Limestone ,18.247402009749496
Lipscomb ,14.781628139109026
Live Oak ,12.174474687585313
Llano ,9.085193707981006
Loving ,0.0
Lubbock ,19.02351927024225
Lynn ,14.671051759177743
Madison ,14.214280842092144
Marion ,13.913057405036106
Martin ,12.58505171479771
Mason ,7.289991194952055
Matagorda ,19.540825264134014
Maverick ,22.635552358660632
McCulloch ,12.957318825656174
McLennan ,24.852168337580345
McMullen ,0.0
Medina ,10.678916736934987
Menard ,10.756061202474374
Midland ,13.361634850385617
Milam ,11.201765183658726
Mills ,10.059744563827739
Mitchell ,12.282463629989792
Montague ,13.334286086633554
Montgomery ,14.649474695512474
Moore ,10.790789347551613
Morris ,12.524313798553024
Motley ,11.29023919973633
Nacogdoches ,14.7817186863466
Navarro ,12.773479703277637
Newton ,12.210741645849339
Nolan ,12.942053565400139
Nueces ,13.222224444136103
Ochiltree ,15.782717221803527
Oldham ,10.53568177558743
Orange ,15.747708320496692
Palo Pinto ,10.38263194931087
Panola ,15.24704309733225
Parker ,10.779399073269904
Parmer ,10.914523839460179
Pecos ,13.232411427014641
Polk ,19.103152048265894
Potter ,17.074759768236767
Presidio ,10.493509699385484
Rains ,11.300701443257724
Randall ,12.210347901790758
Reagan ,10.473566180803182
Real ,13.140474509261306
Red River ,11.453734919256892
Reeves ,12.443457388776778
Refugio ,13.69345611675634
Roberts ,12.197956618144591
Robertson ,18.944243447199874
Rockwall ,11.2022701070769
Runnels ,10.365005383248945
Rusk ,14.173515320521533
Sabine ,10.408589381922848
San Augustine ,14.803434040522228
San Jacinto ,17.84319285712708
San Patricio ,12.826460440583318
San Saba ,8.901612312666089
Schleicher ,6.300986500146275
Scurry ,12.737953689012478
Shackelford ,10.619564870873901
Shelby ,14.155068142794955
Sherman ,13.679559093851362
Smith ,12.527432296814156
Somervell ,11.729452850800037
Starr ,32.47731023028065
Stephens ,12.020528948735441
Sterling ,14.90641198576217
Stonewall ,12.22170099138915
Sutton ,14.99392873623063
Swisher ,11.656530654480623
Tarrant ,12.56888629199503
Taylor ,14.934690340654702
Terrell ,12.55194638580292
Terry ,17.53353904192233
Throckmorton ,8.624549696280884
Titus ,13.074407411777223
Tom Green ,11.283970202092652
Travis ,8.416458131754998
Trinity ,22.165595015943754
Tyler ,12.491804056760508
Upshur ,15.528410217737196
Upton ,14.671192329580782
Uvalde ,16.289402961451927
Val Verde ,23.22071114398796
Van Zandt ,11.928895764139561
Victoria ,15.845406272401668
Walker ,19.140958963144154
Waller ,14.437057685941767
Ward ,11.93623339055993
Washington ,11.954317378328344
Webb ,22.797767389095434
Wharton ,22.009151404942553
Wheeler ,10.197101842478986
Wichita ,10.066813519140563
Wilbarger ,12.117188970032029
Willacy ,16.35131398063467
Williamson ,7.141254308666272
Wilson ,12.240032880029343
Winkler ,18.226868226465665
Wise ,9.660785692807647
Wood ,13.466112921417032
Yoakum ,11.607556998141597
Young ,11.49480814616497
Zapata ,22.19882832939171
Zavala ,23.759341344785604
